Date,Open,High,Low,Close,Volume
2023-01-01,147.49080237694724,150.62858371373468,142.84063292308576,136.03363442337215,3511720
2023-01-02,159.0142861281983,162.7282082252756,131.68279929990098,145.62709263136296,4331869
2023-01-03,154.6398788362281,156.28711962152653,133.23257428189228,145.81270243220212,1898320
2023-01-04,151.97316968394074,160.17141382329405,147.97108377054158,147.74859802996414,1634736
2023-01-05,143.12037280884874,168.15132947852186,142.1285811931918,149.52182667445322,2587261
2023-01-06,143.11989040672404,154.9858445829775,130.1839410323326,154.51704158925068,3007635
2023-01-07,141.161672243364,158.2076584607126,132.02943085732065,145.3260069660239,2226607
2023-01-08,157.3235229154987,165.11102277086098,143.27003538216113,141.45912945882492,4065173
2023-01-09,152.0223002348642,154.57596330983245,130.10123167692439,150.90372389537407,4264908
2023-01-10,154.1614515559209,151.53959819657587,133.21616102834997,140.41664502524148,1066234
2023-01-11,140.41168988591605,155.79502905827536,140.97467578733173,143.77942841411272,2612818
2023-01-12,159.3981970432399,153.22442574508008,143.83790395385387,136.56912762684533,3275504
2023-01-13,156.64885281600843,168.59395304685145,143.039225190052,135.50701486830914,4225187
2023-01-14,144.24678221356552,166.16240759128834,134.4853861892112,154.2529682935585,1409995
2023-01-15,143.636499344142,162.66807513020848,144.24358442695072,151.7196024102441,3292156
2023-01-16,143.66809019706866,167.42921180375436,134.744981749936,148.91948412187395,1466152
2023-01-17,146.08484485919075,166.0734415379823,136.50799396318536,143.1790588882854,2990546
2023-01-18,150.49512863264476,153.73140117772073,144.9298281023605,138.46588640141692,3003019
2023-01-19,148.63890037284233,167.85117996979955,142.9926579809443,138.12874085342173,2773832
2023-01-20,145.82458280396085,160.78684483831302,146.98446820988357,140.0048579632919,4204891
2023-01-21,152.2370578944476,166.14880310328124,143.15225784600688,145.9845332941224,4621581
2023-01-22,142.78987721304082,167.92182599846987,141.36617206670942,149.29191845400123,1051934
2023-01-23,145.84289297070436,156.3600694994373,131.87349535656185,148.20394753435463,2768831
2023-01-24,147.32723686587383,152.20103849055354,137.35431606118868,140.59867793891885,1425523
2023-01-25,149.12139968434073,154.55870325083885,135.3040473536345,154.09730561326387,1840530
2023-01-26,155.70351922786028,158.54215577252512,134.87979286758167,149.75793833391538,4599865
2023-01-27,143.9934756431672,166.36029531844986,149.46021109504892,146.08708105022802,1005486
2023-01-28,150.28468876827225,167.21461166512688,137.86195449333522,147.23441492468703,2187983
2023-01-29,151.84829137724086,150.13904261062382,147.84093110354226,143.3920012485558,1873332
2023-01-30,140.92900825439995,160.21494605155132,142.62277251994527,139.95461979002314,4796036
2023-01-31,152.15089703802877,158.34822006297557,145.89622607083297,142.11945357302523,2039458
2023-02-01,143.41048247374584,154.4421562094146,140.05274186210383,150.1569222092874,4772811
2023-02-02,141.3010318597056,152.39730734667364,141.53807769252717,135.28786977259512,3317336
2023-02-03,158.97771074506667,156.75230342807257,139.85035387637728,137.3214528101383,3763642
2023-02-04,159.31264066149117,168.8581940782504,133.9048597559609,135.92005284043506,4495380
2023-02-05,156.1679469623292,156.46405864041512,144.4490423052301,135.81457604637941,2809891
2023-02-06,146.0922753834674,160.37581243486733,135.6154472488171,152.10921168022014,4788340
2023-02-07,141.9534422801277,164.06037917790354,130.48631932862907,149.0731571876005,3419862
2023-02-08,153.68466053024315,157.27259204758587,142.90944591814335,144.48347658174652,1197775
2023-02-09,148.80304987479204,169.43564165441921,133.54221358814098,136.95668321302003,3386488
2023-02-10,142.44076469689557,169.24894589884224,148.8091716870583,144.83231750233665,1787494
2023-02-11,149.9035382022254,155.0356459165073,149.07857154005174,144.46943541561131,2656940
2023-02-12,140.68777042230437,159.9449701178477,148.29728780440897,138.4640373982003,2138356
2023-02-13,158.18640804157565,156.0175661963354,137.4031740051089,143.67703298475945,2201193
2023-02-14,145.17559963200034,155.69680988754936,130.30913233057734,142.97009468794747,3643129
2023-02-15,153.25044568707963,150.73773894709066,148.5663712517545,147.31700196104433,4943334
2023-02-16,146.2342215217882,162.19128667959794,138.56368296634628,147.70187301735288,4496333
2023-02-17,150.4013604235562,160.05358046457724,149.3330963808734,135.9060801954409,4009758
2023-02-18,150.9342055868656,151.0295750249998,149.27239954178506,142.49225229252943,1889465
2023-02-19,143.69708911051055,155.57292928473223,147.0601891093472,147.5171983142847,1533636
2023-02-20,159.39169255529117,168.16531771933307,135.88897784139172,145.06272517160176,4038370
2023-02-21,155.5026564672223,154.79123781333945,137.70195457203852,152.12979682376644,1038102
2023-02-22,158.78997883128378,152.89789744182445,147.02273343033713,148.1738726323789,1074460
2023-02-23,157.89654700855297,159.78905520555125,136.33844010312555,138.2586885416286,2413354
2023-02-24,151.9579995762217,169.713009082212,133.38985493372184,136.41137494800859,4235658
2023-02-25,158.43748470046233,154.84110543023002,141.136025249167,147.84838556412632,4676817
2023-02-26,141.76985004103838,163.44271094811756,148.72309548321562,135.53022621083244,4773166
2023-02-27,143.9196572483829,165.23239230657435,143.92059593349947,146.71551162546928,2776203
2023-02-28,140.90454577821077,154.75275087984798,141.4012234017873,153.80460482849915,3276360
2023-03-01,146.5066066152653,164.56432697223718,131.94352987541538,146.50948355751757,4300425
2023-03-02,147.77354579378965,157.35566265438507,142.3001445339834,142.76339852413045,1213945
2023-03-03,145.42698063547792,162.64611661187158,149.80107700208526,147.86576436884707,1231915
2023-03-04,156.5747501830386,162.6705942152179,132.80168030473047,144.16505780983033,3825104
2023-03-05,147.1350665338718,160.71549368149516,140.36659304727473,145.9123357863187,3305276
